fuel_type,body_type,km_driven,owner,price,manufacturing_year,link,features,oem,model,registration_year,Mileage,Seats,transmission,variantName,City
Petrol,Hatchback,120000,Third Owner,400000,2015,https://www.cardekho.com/used-car-details/used-Maruti-Celerio-Vxi-cars-Bangalore_a12b21b4-e26a-41bf-8f47-7e79a725a246.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",Maruti,Maruti Celerio,2015,23.1,5,Manual,VXI,Bangalore
Diesel,SUV,60000,First Owner,790000,2015,https://www.cardekho.com/used-car-details/used-Maruti-Sx4-S-Cross-Ddis-200-Zeta-cars-Bangalore_93f9db43-24a0-46d2-abd9-7450d04c0544.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Maruti,Maruti SX4 S Cross,2015,23.65,5,Manual,DDiS 200 Zeta,Bangalore
Diesel,SUV,20000,First Owner,1900000,2020,https://www.cardekho.com/used-car-details/used-Jeep-Compass-2.0-Longitude-Bsiv-cars-Bangalore_91fc45f5-5207-4884-95d1-ce3fe163f05d.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Jeep,Jeep Compass,2020,17.1,5,Manual,2.0 Longitude BSIV,Bangalore
Petrol,SUV,30000,First Owner,1200000,2021,https://www.cardekho.com/used-car-details/used-Hyundai-Venue-Sx-Plus-Turbo-Dct-Bsiv-cars-Bangalore_4338a832-d356-42a7-8213-7137bb4bf2a3.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Hyundai,Hyundai Venue,2021,18.15,5,Automatic,SX Plus Turbo DCT BSIV,Bangalore
Petrol,Hatchback,50000,First Owner,690000,2018,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-1.2-Delta-cars-Bangalore_744cb0de-f4c9-456f-ba13-12ff4790082b.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",Maruti,Maruti Baleno,2018,21.4,5,Manual,1.2 Delta,Bangalore
Diesel,SUV,80000,First Owner,1350000,2018,https://www.cardekho.com/used-car-details/used-Jeep-Compass-2.0-Limited-cars-Bangalore_040afa97-4f27-47cd-b607-49825acb15a9.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Jeep,Jeep Compass,2018,17.1,5,Manual,2.0 Limited,Bangalore
Petrol,SUV,10000,First Owner,1005000,2022,https://www.cardekho.com/used-car-details/used-Tata-Nexon-Xm-Plus-S-Bsvi-cars-Bangalore_93b84fc2-ff12-4467-a41e-85057bee8d7d.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",Tata,Tata Nexon,2022,17.33,5,Manual,XM Plus S BSVI,Bangalore
Diesel,Sedan,100000,Third Owner,2200000,2011,https://www.cardekho.com/used-car-details/used-Bmw-5-Series-520d-Sedan-cars-Bangalore_4c85afb1-33f5-46b3-960f-ef5713bf0ef7.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",BMW,BMW 5 Series,2011,18.48,5,Automatic,520d Sedan,Bangalore
Petrol,SUV,30000,First Owner,1090000,2020,https://www.cardekho.com/used-car-details/used-Renault-Duster-Rxs-cars-Bangalore_d7c49586-8987-4425-ba29-a337e55a9981.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",Renault,Renault Duster,2020,16.42,5,Manual,RXS,Bangalore
Petrol,Sedan,50000,Second Owner,4900000,2016,https://www.cardekho.com/used-car-details/used-Mercedes-benz-S-class-S-500-L-cars-Bangalore_7c4aefc7-1360-4e8b-90cc-b3b01950dd56.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",Mercedes-Benz,Mercedes-Benz S-Class,2016,7.81,5,Automatic,S 500 L,Bangalore
